类别,名称,工作流,优先级,阶段,精度,引擎,LFM2位置·形状,依赖/前置,状态,证据·数字,验收A 数值,验收B 性能,验收C 模型,负责人
已验证,fp16 GEMM(T.gemm 整算子),1、3,—,prefill,fp16,HMX 32x32 Crouton,全部 MUL_MAT,GemmHMX + hmx.h,真机 PASS,数值 PASS；Q4 融合版曾 prefill parity,已过,待 P0 建基线,待 P0(可选),
已验证,HMX 指令 atom(手驱 K-loop),1、3,—,prefill,fp16,HMX,同上,HMXIntrinEmitter + T.Layout(Crouton),真机 PASS,Q4 显式版 rel err ≈3.4~3.5e-4,已过,未建基线,经 Q4 路径验证,
已验证,RMSNorm,4,—,两者,fp16(fp32 累加),HVX map+hexreduce,attn/ffn_norm N=2048 等,hexreduce tileop,真机 PASS,max abs err < 0.05(判据待收紧),已过(门限待收紧),未建基线,待做(Mode B 候选),
已验证,FlashAttention(prefill),1、3、4,—,prefill,fp16,HMX+HVX softmax,attn 6 层,gemm+softmax basis,真机 PASS,example 验证,已过,未建基线,未做,
已验证,Q4_0 fused matmul(prefill),1、3、4,—,prefill,q4_0→fp16,HMX,Q4 模型全部 MUL_MAT,dequant DSL + HMX atom,真机 PASS·feature 默认关闭,correctness PASS；pp32 2.85 vs stock 590.33 t/s,已过,未达标(单线程 dequant + 固定 M32/N128 调度),已接入(默认关闭),
已验证,Q8_0 GEMV atom dot_32x1,4,—,decode,q8_0(fp32 累加),HVX vrmpyacc,单列投影·down·short-conv proj·lm_head,Q8_0TiledLayout + qgemv.h,真机 PASS + 模型集成,atom max rel err ≤2.1e-6；模型内 35.67±0.37 vs stock 35.46±0.17 tok/s,已过,parity,parity(固定 seed 输出 token 一致),
已验证,worker pool(6xHVX),5,—,两者,不适用,6 硬件线程,基础设施,T.Kernel(num_workers),device-validated,example_worker_pool,不适用,不适用,不适用,
开发,GEMM fp16 标准化,1、3,P0,prefill,fp16,HMX,2048→{6144;2048;8192;512} 及 8192→2048,example 已备；补形状泛化/测试,未开始,—,目标 max rel err ≤1e-3,GFLOPS 对 HMX 理论值,可选,
开发,RMSNorm 标准化(含 f32 路径),4,P0,两者,f32 与 fp16,HVX map+reduce,每层 2 次(N=2048)+per-head(N=64)+收尾,example 已备；ggml 图激活为 f32,未开始,—,目标 max rel err ≤1e-3,GB/s 对 VTCM/HVX copy 上限,可选(Mode B 第一例),
开发,Q8 GEMV dot_32x2(融合 gate+up),4、5,P1,decode,q8_0,HVX,ffn_gate+up 2048→8192x2(decode 46%),dot_32x1 扩展 + Q8_0TiledLayout,未开始,Q8 设计后续 #1,目标同 32x1(≤2.1e-6),对 stock 融合 kernel,必做(超 parity 候选),
开发,elementwise 家族 ADD/MUL/SWIGLU,4,P1,两者,f32,HVX map,残差·门控·激活,无(融合储备),未开始,—,目标 rel err ≤1e-6,对 stock 同类 op,可选,
开发,Softmax 独立算子化,4,P1,两者,f32,HVX,从 FlashAttention basis 抽取,hexreduce max+sum 两段式,未开始,—,目标 rel err ≤1e-5,对 stock,不适用,
开发,RoPE,4,P2,两者,f32,HVX,attn 6 层 Q/K,无,未开始,—,目标 rel err ≤1e-5,对 stock,可选,
开发,SSM_CONV 短卷积,4,P2,两者,f32,HVX,conv 10 层 kernel=3,无,未开始,—,目标 rel err ≤1e-5,对 stock,可选,
开发,fp16 GEMV(M=1),2、4、5,P2,decode,fp16,HVX,F16 模型全部 MUL_MAT,工作流 2 决定带宽上限,未开始,—,目标 max rel err ≤1e-3,GB/s 对 DDR 峰值,必做,
开发,短卷积子图融合 in_proj→SSM_CONV→out_proj,2、4、5、6,P3,decode,q8+f32,HVX(prefill 可 HMX),唯一未被 ggml 融合子图(decode 15%),新子图 tl_op_desc seam；中间量驻 VTCM,未开始,—,端到端数值一致,不适用(直接看 C),必做(主要收益来源),
开发,lm_head GEMV,4、5,P3,decode,q8_0,HVX,2048→65536,复用 dot_32x1；host 上限 patch,host 侧已解决,+80%(Q4) / 约 27%(Q8) 已并入基线,不适用,不适用,patch 上游化,
不做,SET_ROWS/CPY(KV cache 写),—,—,两者,f32,搬运,KV cache 写回,—,不做(可复议),profiling 非瓶颈；ggml 已高效,不适用,不适用,不适用,
不做,CONCAT(conv state 拼接),—,—,两者,f32,搬运,conv 状态拼接,—,不做(可复议),同上,不适用,不适用,不适用,
不做,GET_ROWS(embedding 查表),—,—,两者,q6_K,CPU 查表,token embedding,—,不做(可复议),CPU 侧且量小；lm_head 已单列 P3,不适用,不适用,不适用,
基础设施,DMA lowering + T.Pipelined/T.Parallel hook,2、6,阶段1→2,decode,—,DMA 2D 双缓冲,decode 类算子带宽上限,commit/wait 抽 target hook,未开始(最大缺口),q8_design L3 方案,不适用,microbench 对 DDR 峰值,经 fp16 GEMV/融合算子体现,
基础设施,PMU AXI 带宽 + DMA microbench,2,阶段0 可先行,—,—,PMU,测量方法学,换 PMU event set,未开始,现 event set 测不了 AXI read,不适用,产出带宽基线页,不适用,
基础设施,hmx.h static session → tl_ctx*,1,阶段1,—,—,—,多算子共存前提,runtime 重构,未开始,handoff §4b,不适用,不适用,不适用,
基础设施,autotune(layout/prefetch/worker 数),6 之后,阶段2,—,—,—,语义级 QGEMV 配套,WS6 完成,未开始,q8_design 后续 #4,不适用,不适用,不适用,
基础设施,lm_head 65536 上限 patch 上游化,—,阶段0~1,decode,—,—,llama.cpp PR,整理本地 patch,patch 未整理,已证约 27% Q8 decode 收益,不适用,不适用,已并入基线,
